skladnik_z_przepisu;produkt_sklepowy;oryginalna_nazwa;pkg;jednostka;zl_per_100;cena_pkg;sklep;fuzzy_score;kcal;bialko_g;tluszcz_g;wegle_g
ananas;ananas;Ananas;1500.0;g;0.8;11.98;biedronka;100.0;50.0;0.5;0.1;13.1
arbuz;arbuz;Arbuz Owoce  Auchan na wagę ok. 4 kg;;;0.8;31.96;auchan;100.0;30.0;0.6;0.2;7.6
awokado;awokado;Awokado Hass 1 szt.;1.0;pcs;0.0;6.99;biedronka;100.0;160.0;2.0;14.7;8.5
bakłażan;bakłażan;Bakłażan;300.0;g;2.0;6.0;biedronka;100.0;25.0;1.0;0.2;5.9
banan;banan;Banan;1000.0;g;0.7;6.99;biedronka;100.0;89.0;1.1;0.3;22.8
bazylia;bazylia;BIO Bazylia   Pewni Dobrego sztuka;100.0;g;7.99;7.99;auchan;100.0;44.0;4.9;1.0;5.1
boczek;boczek rolowany;Boczek rolowany na Grill Auchan 300 g;300.0;g;5.76;17.29;auchan;100.0;541.0;37.0;42.0;1.4
borówka;borówka;Borówka Amerykańska  Owoce  Auchan 250 g;250.0;g;6.8;16.99;auchan;100.0;57.0;0.7;0.3;14.5
borówki;borówki amerykańska;Borówki amerykańska Owoce  Auchan 250 g;250.0;g;6.92;17.29;auchan;100.0;57.0;0.7;0.3;14.5
brokuł;brokuł;Brokuł 1 szt.;500.0;g;1.2;5.99;biedronka;100.0;34.0;2.8;0.4;6.6
brokuly;brokuły;Brokuły różyczki Hortex 450 g;450.0;g;2.31;10.38;auchan;85.7;34.0;2.8;0.4;6.6
brukselka;brukselka mrożona;Brukselka mrożona Auchan 450 g;450.0;g;1.28;5.75;auchan;100.0;41.0;3.8;0.4;7.9
brzoskwinia;brzoskwinia;Brzoskwinia;220.0;g;2.0;4.4;biedronka;100.0;39.0;0.9;0.3;9.5
bulion wolowy;bulion;Winiary Bulion Drobiowy 160 g;160.0;g;4.81;7.69;biedronka;100.0;4.0;0.5;0.1;0.4
bulion drobiowy;bulion drobiowy;Bulion drobiowy Winiary 160 g;160.0;g;4.99;7.98;auchan;100.0;4.0;0.5;0.1;0.4
bulion warzywny;bulion warzywny;Winiary Bulion warzywny 160 g;160.0;g;4.81;7.69;biedronka;100.0;4.0;0.2;0.1;0.7
burak;burak podłużny;Burak podłużny Warzywa Auchan 800 g;800.0;g;0.65;5.19;auchan;100.0;43.0;1.6;0.2;9.6
buraki;buraki;Buraki Warzywa Auchan 1 kg;1000.0;g;0.3;2.99;auchan;100.0;43.0;1.6;0.2;9.6
bułka;bułka poranna;Bułka poranna 65 g;65.0;g;1.28;0.83;biedronka;100.0;265.0;9.0;3.2;49.0
cebula;cebula;Cebula Warzywa Auchan na wagę ok. 1 kg;;;0.33;3.28;auchan;100.0;40.0;1.1;0.1;9.3
cebula biała;cebula biała;Cebula biała Warzywa Auchan na wagę ok. 500 g;;;0.8;4.0;auchan;100.0;40.0;1.1;0.1;9.3
cebula czerwona;cebula czerwona;Cebula czerwona Warzywa Auchan na wagę ok. 500 g;;;0.46;2.3;auchan;100.0;40.0;1.1;0.1;9.3
cebula granulowana;cebula granulowana;Cebula granulowana Kamis 20 g;20.0;g;12.4;2.48;auchan;100.0;341.0;10.4;0.5;79.0
cebula żółta;cebula żółta;Cebula żółta 1 kg;1000.0;g;0.5;4.99;biedronka;100.0;40.0;1.1;0.1;9.3
chili;chili mieszanka przypraw;Chili mieszanka przypraw Kotányi 35 g;35.0;g;21.83;7.64;auchan;100.0;282.0;13.5;14.3;49.7
chleb;chleb pszenny;Chleb pszenny Pewni Dobrego 300 g;300.0;g;1.4;4.19;auchan;100.0;265.0;9.0;3.2;49.0
chorizo sojowe;chorizo;Chorizo picante extra Pewni Dobrego 280 g;280.0;g;6.78;18.99;auchan;100.0;455.0;24.1;38.3;1.9
ciecierzyca;ciecierzyca;Ciecierzyca Auchan 400 g;400.0;g;1.24;4.95;auchan;100.0;139.0;7.6;2.6;22.5
cukier;cukier;Cukier drobny Auchan 750 g;750.0;g;1.27;9.49;auchan;100.0;387.0;0.0;0.0;100.0
cukier puder;cukier puder;Cukier puder Polski Cukier 500 g;500.0;g;1.5;7.49;auchan;100.0;389.0;0.0;0.0;99.8
brązowy cukier;cukier trzcinowy;Cukier trzcinowy Diamant 1 kg;1000.0;g;0.94;9.38;auchan;100.0;380.0;0.1;0.0;98.1
cukinia;cukinia;Cukinia;400.0;g;1.3;5.2;biedronka;100.0;17.0;1.2;0.3;3.1
curry;curry;Curry Kamis 20 g;20.0;g;12.4;2.48;auchan;100.0;325.0;14.3;14.0;55.8
cynamon;cynamon mielony;Cynamon mielony Auchan 15 g;15.0;g;8.6;1.29;auchan;100.0;247.0;3.9;1.2;80.6
cytryna;cytryna;Cytryna 500 g;500.0;g;1.0;4.99;biedronka;100.0;29.0;1.1;0.3;9.3
skórka z cytryny;cytryny;Cytryny Owoce  Auchan 1 kg;1000.0;g;1.7;16.99;auchan;100.0;29.0;1.1;0.3;9.3
czekolada;czekolada deserowa;BIO Czekolada deserowa Pewni Dobrego 200 g;200.0;g;8.0;15.99;auchan;100.0;598.0;7.8;42.6;45.9
czosnek;czosnek;Czosnek 250 g;250.0;g;3.2;7.99;biedronka;100.0;149.0;6.4;0.5;33.1
czosnek granulowany;czosnek granulowany;Czosnek granulowany Auchan 100 g;100.0;g;4.49;4.49;auchan;100.0;331.0;16.6;0.7;72.7
daktyl;daktyle;Daktyle Medijule Jumbo Palma Deluxe 500 g;500.0;g;6.44;32.19;auchan;92.3;282.0;2.5;0.4;75.0
dorsz;dorsz;Marinero Dorsz atlantycki polędwica opak. ok. 500 g;500.0;g;9.99;49.95;biedronka;100.0;82.0;17.8;0.7;0.0
drożdże;drożdże tradycyjne;Drożdże tradycyjne  Drożdże Babuni 100 g;100.0;g;1.48;1.48;auchan;100.0;325.0;40.4;7.6;41.2
dynia;dynia;Dynia piżmowa;1500.0;g;0.7;10.48;biedronka;100.0;26.0;1.0;0.1;6.5
dżem morelowy;dżem morelowy niskosłodzony;Dżem morelowy niskosłodzony Łowicz 280 g;280.0;g;2.46;6.88;auchan;100.0;150.0;0.5;0.1;37.0
erytrytol;erytrytol;Erytrytol Big Nature 1 kg;1000.0;g;2.88;28.8;auchan;100.0;20.0;0.0;0.0;100.0
biała fasola;fasola biała;Fasola biała konserwowa Auchan 400 g;240.0;g;1.25;2.99;auchan;100.0;139.0;9.7;0.4;25.1
czarna fasola;fasola czarna;Fasola czarna   Dawtona 400 g;240.0;g;1.41;3.38;auchan;100.0;132.0;8.9;0.5;23.7
fasola czerwona;fasola czerwona;Fasola czerwona konserwowa Auchan 400 g;240.0;g;1.2;2.89;auchan;100.0;127.0;8.7;0.5;22.8
zielona fasolka;fasolka;BIO Fasolka Adzuki   EUREKO 400 g;400.0;g;4.45;17.79;auchan;100.0;31.0;1.8;0.1;7.1
fasolka szparagowa;fasolka szparagowa;BIO Fasolka szparagowa konserwowa  EkoWital 370 ml;215.0;g;3.34;7.18;auchan;100.0;31.0;1.8;0.2;7.0
gałka muszkatołowa;gałka muszkatołowa mielona;Gałka muszkatołowa mielona Prymat 10 g;10.0;g;15.8;1.58;auchan;100.0;525.0;5.8;36.3;49.3
granat;granat;Granat;400.0;g;2.0;8.0;biedronka;100.0;83.0;1.7;1.2;18.7
granola;granola;Granola ChocoLove One Day More 400 g;450.0;g;3.95;17.79;auchan;100.0;471.0;10.0;20.0;64.0
groszek;groszek;Groszek konserwowy Auchan 400 g;240.0;g;1.1;2.65;auchan;100.0;81.0;5.4;0.4;14.5
groszek cukrowy;groszek cukrowy;Groszek cukrowy Auchan 450 g;450.0;g;2.28;10.25;auchan;100.0;42.0;2.8;0.2;7.6
groszek zielony;groszek zielony;Groszek zielony Hortex 450 g;450.0;g;1.82;8.19;auchan;100.0;81.0;5.4;0.4;14.5
gruszka;gruszka;Gruszka Owoce  Auchan 1 kg;1000.0;g;0.7;6.99;auchan;100.0;57.0;0.4;0.1;15.2
grzyby;grzyby;Grzyby Shitake   Świeże Grzyby SPGJ 200 g;200.0;g;6.49;12.98;auchan;100.0;22.0;3.1;0.3;3.3
harissa;harissa mieszanka przypraw;Harissa mieszanka przypraw Kotányi 20 g;20.0;g;11.7;2.34;auchan;100.0;315.0;12.0;12.0;50.0
imbir;imbir;Imbir korzeń Owoce  Auchan na wagę ok. 100 g;;;2.19;2.19;auchan;100.0;80.0;1.8;0.8;17.8
imbir mielony;imbir mielony;Imbir mielony Prymat 15 g;15.0;g;10.53;1.58;auchan;100.0;335.0;9.0;4.2;71.6
mielony indyk;indyk;Skrzydło z indyka Auchan na wagę ok. 600g;;;1.59;9.54;auchan;100.0;135.0;29.3;1.5;0.0
jabłko;jabłko;Jabłko polskie 1,5 kg;1500.0;g;0.4;5.99;biedronka;100.0;52.0;0.3;0.2;13.8
suszone jagody goji;jagody goji;BIO Jagody goji suszone Bio Planet 100 g;100.0;g;13.28;13.28;auchan;100.0;349.0;14.3;0.4;77.1
jagody;jagody leśne;Jagody leśne  Hortex 280 g;280.0;g;5.81;16.28;auchan;100.0;57.0;0.7;0.3;13.8
białko jaja;jaja;Jaja ekologiczne Pewni Dobrego 6 sztuk;6.0;pcs;0.0;10.49;auchan;100.0;143.0;12.6;9.5;0.7
jarmuż;jarmuż;Jarmuż cięty Warzywa Auchan 300 g;300.0;g;2.33;6.99;auchan;100.0;49.0;4.3;0.9;8.8
jeżyna;jeżyna mrożona;Jeżyna mrożona Auchan 350 g;350.0;g;3.28;11.49;auchan;100.0;64.0;1.5;0.4;15.7
jeżyny;jeżyny;Jeżyny Owoce  Auchan 125 g;125.0;g;12.79;15.99;auchan;100.0;43.0;1.4;0.5;9.6
jogurt grecki;jogurt;Jogurt naturalny     Auchan 400 g;400.0;g;0.62;2.49;auchan;100.0;63.0;5.3;3.3;4.0
kakao;kakao ciemne;Bakello Kakao extra ciemne 200 g;200.0;g;5.5;10.99;biedronka;100.0;228.0;19.6;13.7;57.9
kalafior;kalafior;Kalafior;1500.0;g;1.0;14.98;biedronka;100.0;25.0;1.9;0.3;5.0
kapusta biała;kapusta biała;Kapusta biała;3000.0;g;0.4;11.97;biedronka;100.0;25.0;1.3;0.1;5.8
czerwona kapusta;kapusta czerwona;Kapusta czerwona Z Babcinej spiżarni 350 g;350.0;g;2.54;8.89;auchan;100.0;31.0;1.4;0.2;7.4
kapusta;kapusta pekińska;Kapusta Pekińska Warzywa Auchan na wagę ok. 1 kg;;;0.6;5.98;auchan;100.0;12.0;1.1;0.2;2.2
kawa;kawa mrożona;Kawa mrożona Hochwald 500 ml;500.0;ml;1.28;6.39;auchan;100.0;40.0;1.3;1.0;6.5
ketchup;ketchup;Kotlin Ketchup łagodny 450 g;450.0;g;1.43;6.45;biedronka;100.0;101.0;1.0;0.1;27.4
kiełbasa;kiełbasa;Kiełbasa Krakowska Spichlerz Rusiecki 280 g;280.0;g;3.5;9.79;auchan;100.0;346.0;14.1;31.7;2.1
kiełki fasoli;kiełki fasoli mung w zalewie;Kiełki fasoli mung w zalewie  Tao Tao 330 g;210.0;g;3.28;6.89;auchan;100.0;12.0;1.4;0.1;2.0
kimchi;kimchi;Kimchi Runoland 300 g;300.0;g;3.6;10.79;auchan;100.0;24.0;1.1;0.5;4.0
kiwi;kiwi;Kiwi 1 szt.;1.0;pcs;0.0;1.99;biedronka;100.0;61.0;1.1;0.5;14.7
kmin rzymski;kmin rzymski mielony;Kmin rzymski mielony Kotányi 15 g;15.0;g;15.6;2.34;auchan;100.0;375.0;17.8;22.3;44.2
kokos;kokos w łupinie;Kokos w łupinie Owoce  Auchan na wagę ok. 400 g;;;1.03;4.12;auchan;100.0;354.0;3.3;33.5;15.2
kolendra;kolendra;BIO Kolendra  Pewni Dobrego sztuka;100.0;g;7.99;7.99;auchan;100.0;23.0;2.1;0.5;3.7
komosa ryzowa;komosa ryżowa;Quinoa Komosa Ryżowa Intenson 250 g;250.0;g;3.8;9.49;auchan;92.3;120.0;4.4;1.9;21.3
koncentrat pomidorowy;koncentrat pomidorowy;Dawtona Koncentrat pomidorowy 190 g;190.0;g;1.82;3.45;biedronka;100.0;82.0;4.0;0.5;18.9
konfitura morelowa;konfitura;Konfitura extra z Truskawek o obniżonej zawartości cukru Herbapol 240 g;240.0;g;3.12;7.48;auchan;100.0;250.0;0.4;0.1;65.0
koperek;koperek;Koperek suszony. Wysuszone i rodrobnione liście kopru Auchan 8 g;8.0;g;16.12;1.29;auchan;100.0;43.0;3.5;1.1;7.0
krakersy;krakersy solone mix;Top Krakersy solone mix 90 g;90.0;g;2.1;1.89;biedronka;100.0;418.0;9.0;9.0;74.0
krewetki;krewetki koktajlowe;Krewetki koktajlowe blanszowane Auchan 400 g;400.0;g;8.75;34.99;auchan;100.0;85.0;20.0;0.5;0.0
kukurydza;kukurydza;Kukurydza konserwowa Auchan 400 g;220.0;g;1.5;3.29;auchan;100.0;96.0;3.4;1.5;21.0
kukurydza słodka;kukurydza słodka;Kukurydza konserwowa słodka Dawtona 400 g;220.0;g;2.17;4.78;auchan;100.0;86.0;3.3;1.4;19.0
kurczak fajita;kurczak;Kraina Mięs Select Kurczak farmerski porcja rosołowa z kurczaka kg;600.0;g;1.0;5.99;biedronka;100.0;239.0;27.3;13.6;0.0
kur-kuma;kurkuma;Kurkuma korzeń Owoce  Auchan na wagę ok. 100 g;;;5.18;5.18;auchan;93.3;354.0;7.8;9.9;64.9
limonka;limonka;Limonka Owoce  Auchan na wagę ok. 300 g;;;1.6;4.8;auchan;100.0;30.0;0.7;0.2;10.5
majonez;majonez lekki;Winiary Majonez lekki 300 ml;300.0;ml;2.5;7.49;biedronka;100.0;238.0;0.5;22.0;10.0
makaron;makaron;Makaron Fusilli Al Bronzo   Auchan 500 g;500.0;g;1.1;5.49;auchan;100.0;131.0;5.0;1.1;25.0
makaron fusilli z ciecierzycy;makaron fusilli;Makaron fusilli   Auchan 500 g;500.0;g;0.93;4.65;auchan;100.0;357.0;12.5;1.5;71.3
makaron jajeczny;makaron jajeczny;Makaron jajeczny Mediterranea 500 g;500.0;g;1.98;9.89;auchan;100.0;138.0;4.5;2.1;25.2
makaron kokardki;makaron kokardki;Makaron kokardki Auchan 500 g;500.0;g;0.93;4.65;auchan;100.0;357.0;12.5;1.5;71.3
makaron orzo;makaron orzo medium;Makaron orzo medium Primo Gusto 500 g;500.0;g;1.26;6.28;auchan;100.0;357.0;12.5;1.5;71.3
makaron penne;makaron penne;Makaron penne Podravka 500 g;500.0;g;1.2;5.98;auchan;100.0;131.0;5.0;1.1;25.0
makaron ramen;makaron ramen;Makaron ramen świeży Sakura 200 g;200.0;g;1.79;3.59;auchan;100.0;436.0;10.2;17.6;60.3
makaron ryżowy;makaron ryżowy;Makaron ryżowy Vermicelli House of Asia 200 g;200.0;g;3.07;6.14;auchan;100.0;109.0;1.8;0.2;24.9
makaron soba;makaron soba;Makaron soba Green Label 300 g;300.0;g;2.6;7.79;auchan;100.0;99.0;5.1;0.1;21.4
makaron z brązowego ryżu;makaron z brązowego ryżu nitki;Makaron z brązowego ryżu nitki Tao Tao 170 g;170.0;g;4.88;8.29;auchan;100.0;364.0;3.4;0.7;80.2
makaron z ciecierzycy;makaron z ciecierzycy świderki;Makaron z ciecierzycy świderki Novelle 250 g;250.0;g;2.47;6.18;auchan;100.0;357.0;19.0;6.0;55.0
maliny;maliny;Maliny Hortex 280 g;280.0;g;7.14;19.98;auchan;100.0;52.0;1.2;0.7;11.9
mandarynka;mandarynka;Mandarynka;100.0;g;1.0;1.0;biedronka;100.0;53.0;0.8;0.3;13.3
mango;mango;Mango Owoce  Auchan sztuka;100.0;g;5.79;5.79;auchan;100.0;60.0;0.8;0.4;15.0
kapusta i marchew;marchew;Marchew;100.0;g;0.4;0.4;biedronka;100.0;41.0;0.9;0.2;9.6
marmolada pomarańczowa;marmolada pomarańczowa;Marmolada pomarańczowa Auchan 360 g;360.0;g;1.8;6.49;auchan;100.0;246.0;0.3;0.0;60.0
masło;masło;Masło ekstra Łaciate 200 g;200.0;g;3.44;6.89;auchan;100.0;717.0;0.9;81.1;0.1
masło orzechowe;masło orzechowe;Go Vege Masło orzechowe smooth 945 g;945.0;g;2.22;20.99;biedronka;100.0;588.0;25.1;50.4;20.0
maślanka w proszku;maślanka;Maślanka naturalna            Pewni Dobrego 1 kg;1000.0;g;0.4;3.98;auchan;100.0;40.0;3.3;0.9;4.8
melasa;melasa z owoców morwy;Melasa z owoców morwy Koska 380 g;380.0;g;5.0;18.99;auchan;100.0;290.0;0.0;0.0;72.0
melon;melon;Melon Galia;1200.0;g;1.3;15.59;biedronka;100.0;34.0;0.8;0.2;8.2
mielona wieprzowina;mielona wieprzowina;Mielonka wieprzowa Krakus 300 g;300.0;g;2.83;8.48;auchan;100.0;263.0;16.9;21.2;0.0
mielona woowina;mielona wołowina;Mięso mielone wołowe Łuków 400 g;400.0;g;5.75;22.99;auchan;96.8;254.0;17.2;20.0;0.0
mielony kurczak;mielony kurczak;Mięso mielone z nogi kurczaka Auchan 400 g;400.0;g;3.65;14.59;auchan;100.0;143.0;17.4;8.1;0.0
mąka bezglutenowa uniwersalna;mieszanka bezglutenowa uniwersalna;Mieszanka bezglutenowa ekstra uniwersalna Bezgluten 500 g;500.0;g;3.32;16.59;auchan;96.4;357.0;5.0;1.0;80.0
mieszanka warzyw;mieszanka warzywna meksykańska;Mieszanka warzywna meksykańska Bonduelle 150 g;130.0;g;3.53;4.59;auchan;100.0;50.0;2.5;0.5;10.0
migdał;migdały;Bakallino Migdały blanszowane w płatkach 150 g;150.0;g;4.86;7.29;biedronka;92.3;579.0;21.2;49.9;21.6
mieszanka sałat;mix sałat z roszponką;Mix sałat z roszponką Fit 150 g;150.0;g;4.53;6.79;auchan;100.0;17.0;1.5;0.3;3.0
miód;miód wielokwiatowy;Miód wielokwiatowy  Sądecki Bartnik 1 kg;1000.0;g;2.05;20.49;auchan;100.0;304.0;0.3;0.0;82.4
mięta;mięta;BIO Mięta   Pewni Dobrego sztuka;100.0;g;7.99;7.99;auchan;100.0;44.0;3.3;0.7;8.4
mleko;mleko;Mleko świeże 3.2% Auchan 1 l;1000.0;ml;0.33;3.28;auchan;100.0;42.0;3.4;1.0;5.0
mleko kokosowe;mleko kokosowe;Mleko kokosowe House of Asia 400 ml;400.0;ml;1.57;6.28;auchan;100.0;230.0;2.3;23.8;5.5
mozzarella;mozzarella;Mozzarella OSM Skierniewice 250 g;250.0;g;6.2;15.49;auchan;100.0;280.0;27.5;17.1;3.1
mus jabłkowy;mus jabłkowy;Mus jabłkowy  Pewni Dobrego 700 g;700.0;g;1.11;7.79;auchan;100.0;68.0;0.2;0.1;17.9
musztarda;musztarda;Kamis Musztarda kremska 185 g;185.0;g;1.99;3.69;biedronka;100.0;66.0;3.7;3.3;6.0
sos do makaronu;mutti sos do makaronu;Mutti Sos do makaronu Arrabbiata z papryczkami chili 400 g;400.0;g;3.0;11.99;biedronka;100.0;40.0;1.5;1.0;6.0
mąka;mąka;Mąka La Pasta 100%   Molino Casillo  1 kg;1000.0;g;0.82;8.19;auchan;100.0;364.0;10.3;1.0;76.3
mąka migdałowa;mąka migdałowa;BIO Mąka migdałowa Bio Planet 100 g;100.0;g;16.59;16.59;auchan;100.0;579.0;21.2;49.9;21.6
mąka owsiana;mąka owsiana;Mąka owsiana   Młyn Niedźwiady 1 kg;1000.0;g;0.72;7.19;auchan;100.0;404.0;14.7;6.9;68.3
